Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors/guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,Foreign worker,Good/Bad
127,0 <= 200 DM,12,existing credits paid back duly till now,repairs,639,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Two,car or other,30,none,own,One,skilled employee / official,One,none,yes,Bad
128,0 <= 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,... < 100 DM,unemployed,Four,male: single,none,Two,car or other,34,none,own,Two,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
129,... < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),3499,... < 100 DM, 1 <= ... < 4 years,Three,female: divorced/separated/married,co-applicant,Two,real estate,29,none,own,Two,skilled employee / official,One,none,yes,Bad
130,0 <= 200 DM,48,existing credits paid back duly till now,car (new),8487,unknown/no savings account,4 <= ... < 7 years,One,female: divorced/separated/married,none,Two,car or other,24,none,own,One,skilled employee / official,One,none,yes,Good
131,... < 0 DM,36,delay in paying off in the past,education,6887,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Three,building society savings agreement/life insurance,29,stores,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Bad
132,no checking account,15,existing credits paid back duly till now,furniture/equipment,2708,... < 100 DM,... < 1 year,Two,male: single,none,Three,building society savings agreement/life insurance,27,bank,own,Two,unskilled - resident,One,none,yes,Good
133,no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,Four,unknown / no property,47,bank,for free,Two,skilled employee / official,One,none,yes,Good
134,no checking account,60,existing credits paid back duly till now,radio/television,10144,100 <= ... < 500 DM,4 <= ... < 7 years,Two,female: divorced/separated/married,none,Four,real estate,21,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
135,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1240,unknown/no savings account,... >= 7 years,Four,female: divorced/separated/married,none,Two,real estate,38,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
136,no checking account,27,delay in paying off in the past,car (used),8613,... >= 1000 DM, 1 <= ... < 4 years,Two,male: single,none,Two,car or other,27,none,own,Two,skilled employee / official,One,none,yes,Good
137,0 <= 200 DM,12,existing credits paid back duly till now,radio/television,766,500 <= ... < 1000 DM, 1 <= ... < 4 years,Four,male: single,none,Three,real estate,66,none,own,One,unskilled - resident,One,none,yes,Bad
138,0 <= 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,2728,unknown/no savings account,4 <= ... < 7 years,Four,male: single,guarantor,Two,real estate,35,bank,own,Three,skilled employee / official,One,"yes, registered under the customers name",yes,Good
139,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1881,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Two,car or other,44,none,rent,One,unskilled - resident,One,"yes, registered under the customers name",yes,Good
140,... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),709,... >= 1000 DM,... < 1 year,Two,male: married/widowed,none,Two,real estate,27,none,own,One,unemployed/unskilled - non-resident,One,none,no,Good
141,0 <= 200 DM,36,existing credits paid back duly till now,radio/television,4795,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,One,unknown / no property,30,none,own,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
142,... < 0 DM,27,existing credits paid back duly till now,radio/television,3416,... < 100 DM, 1 <= ... < 4 years,Three,male: single,none,Two,car or other,27,none,own,One,management / self-employed / highly qualified employee / officer,One,none,yes,Good
143,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,... < 100 DM, 1 <= ... < 4 years,Two,male: single,none,Two,car or other,22,none,own,One,skilled employee / official,One,none,yes,Bad
144,no checking account,21,critical account/ other credits existing (not at this bank),furniture/equipment,2288,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,23,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
145,0 <= 200 DM,48,all credits at this bank paid back duly,business,3566,100 <= ... < 500 DM,4 <= ... < 7 years,Four,male: single,none,Two,car or other,30,none,own,One,skilled employee / official,One,none,yes,Good
146,... < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,... < 100 DM,... >= 7 years,One,female: divorced/separated/married,none,Four,unknown / no property,39,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
147,no checking account,12,critical account/ other credits existing (not at this bank),car (new),682,100 <= ... < 500 DM,4 <= ... < 7 years,Four,female: divorced/separated/married,none,Three,car or other,51,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
148,... < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,... < 100 DM, 1 <= ... < 4 years,Three,male: single,guarantor,Two,building society savings agreement/life insurance,28,none,own,Two,skilled employee / official,One,none,yes,Good
149,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1582,... >= 1000 DM,... >= 7 years,Four,male: single,none,Four,car or other,46,none,own,Two,skilled employee / official,One,none,yes,Good
150,no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= ... < 500 DM,... >= 7 years,Two,male: single,none,Four,unknown / no property,42,bank,for free,One,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
151,no checking account,10,existing credits paid back duly till now,radio/television,1924,... < 100 DM, 1 <= ... < 4 years,One,male: single,none,Four,building society savings agreement/life insurance,38,none,own,One,skilled employee / official,One,"yes, registered under the customers name",no,Good
152,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,5848,... < 100 DM, 1 <= ... < 4 years,Four,male: single,none,One,car or other,24,none,own,One,skilled employee / official,One,none,yes,Good
153,0 <= 200 DM,24,critical account/ other credits existing (not at this bank),car (used),7758,... >= 1000 DM,... >= 7 years,Two,female: divorced/separated/married,none,Four,unknown / no property,29,none,rent,One,skilled employee / official,One,none,yes,Good
154,0 <= 200 DM,24,delay in paying off in the past,business,6967,100 <= ... < 500 DM,4 <= ... < 7 years,Four,male: single,none,Four,car or other,36,none,rent,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
155,... < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,... < 100 DM, 1 <= ... < 4 years,Two,female: divorced/separated/married,none,Four,car or other,20,none,rent,One,skilled employee / official,One,none,yes,Bad
156,... < 0 DM,9,critical account/ other credits existing (not at this bank),repairs,1288,100 <= ... < 500 DM,... >= 7 years,Three,male: single,guarantor,Four,real estate,48,none,own,Two,skilled employee / official,Two,none,no,Good
157,... < 0 DM,12,all credits at this bank paid back duly,retraining,339,... < 100 DM,... >= 7 years,Four,male: married/widowed,none,One,car or other,45,bank,own,One,unskilled - resident,One,none,yes,Good
158,0 <= 200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= ... < 500 DM,4 <= ... < 7 years,Two,male: single,none,Three,car or other,38,bank,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
159,no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1898,unknown/no savings account, 1 <= ... < 4 years,One,male: single,none,Two,real estate,34,none,own,Two,unskilled - resident,Two,none,yes,Good
160,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2872,100 <= ... < 500 DM,... >= 7 years,Three,male: single,none,Four,real estate,36,none,own,One,skilled employee / official,Two,"yes, registered under the customers name",yes,Good
161,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1055,... < 100 DM,... < 1 year,Four,female: divorced/separated/married,none,One,building society savings agreement/life insurance,30,none,own,Two,skilled employee / official,One,none,yes,Good
162,no checking account,15,existing credits paid back duly till now,domestic appliances,1262,500 <= ... < 1000 DM,4 <= ... < 7 years,Four,male: single,none,Three,building society savings agreement/life insurance,36,none,own,Two,skilled employee / official,One,"yes, registered under the customers name",yes,Good
163,0 <= 200 DM,10,existing credits paid back duly till now,car (new),7308,... < 100 DM,unemployed,Two,male: single,none,Four,unknown / no property,70,bank,for free,One,management / self-employed / highly qualified employee / officer,One,"yes, registered under the customers name",yes,Good
164,no checking account,36,existing credits paid back duly till now,car (new),909,500 <= ... < 1000 DM,... >= 7 years,Four,male: single,none,Four,building society savings agreement/life insurance,36,none,own,One,skilled employee / official,One,none,yes,Good
165,no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,500 <= ... < 1000 DM, 1 <= ... < 4 years,One,male: single,none,Two,car or other,32,none,own,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
166,... < 0 DM,18,existing credits paid back duly till now,furniture/equipment,1131,... < 100 DM,unemployed,Four,female: divorced/separated/married,none,Two,car or other,33,none,own,One,skilled employee / official,One,none,yes,Bad
167,0 <= 200 DM,11,existing credits paid back duly till now,furniture/equipment,1577,... >= 1000 DM,... < 1 year,Four,female: divorced/separated/married,none,One,real estate,20,none,own,One,skilled employee / official,One,none,yes,Good
168,no checking account,24,existing credits paid back duly till now,furniture/equipment,3972,... < 100 DM,4 <= ... < 7 years,Two,female: divorced/separated/married,none,Four,building society savings agreement/life insurance,25,none,rent,One,skilled employee / official,One,"yes, registered under the customers name",yes,Good
